小米SU7 #小米su7 #小米汽车
差了十几年了，从小米手机上市到现在一直差，但也不影响雷军的身家呀……，但凡正常思维，这么差还不早赔的裤子都穿不起了啊？你是在怀疑全国人民的智商吗？我从来不怎么买小米类的产品，十几年来就买过一个手环，一部小米12pro手机，谈不上多好，但也说不上多坏，就是同价位的正常水平吧，看不上小米就买苹果，觉得苹果不爱国，那就买华为，全凭自己的想法就行了，捂脸捂脸捂脸 8553956623 淡泊ly 陕西
好不好，过一段时间看市场反馈，现在不要过早下结论。 4380931337749839 WLH 河北
你说的很对，二十几万小米的这个配置你也买不到哦看看 5287251827 笨笨熊一点也不笨 浙江
这个车就是性能车卖点又不是普通家用车卖点。 3538668919198904 山野村夫 北京
你要不要看看跟你说的菊花为同代产品是什么样的？你小时候还是个尿床小孩儿呢！你现在也是吗？ 4036263284 倚楼听风雨0215 天津
银河，极客007都到这级别了吧除了提速差点儿 3303362481106621 有风 陕西
小米还用黑嘛？ 66130100513 菲菲的内库 广西
起码比小米多吧？大笑大笑 66130100513 菲菲的内库 广西
除了2.7s，别的s7智驾，极氪的机械素质，知己l6的原创外观，哪个不比小米强呢？那多出一秒能值那么多钱？ 66130100513 菲菲的内库 广西
你们都别吵了，真像就在这里，看图，主要原因还是充值的太少打发叫花子捂脸 3538668919198904 山野村夫 北京
银河，极客007都到这级别了吧除了提速差点儿 3303362481106621 有风 陕西
小米还用黑嘛？ 66130100513 菲菲的内库 广西
起码比小米多吧？大笑大笑 66130100513 菲菲的内库 广西
除了2.7s，别的s7智驾，极氪的机械素质，知己l6的原创外观，哪个不比小米强呢？那多出一秒能值那么多钱？ 66130100513 菲菲的内库 广西
你们都别吵了，真像就在这里，看图，主要原因还是充值的太少打发叫花子捂脸 3538668919198904 山野村夫 北京
宝马奔驰那质量真的抠脚 2792411113468020 kyle贺 上海
那是，昨天之前的销量比小米多 4456495149 米虫II 湖北
你先看看提高0.1秒有多难再来吧 105533035421 无名之辈灬灬 浙江
对 6219235214 名字不可能重复 河南
实话实说而已。。。发现美国玩制裁后更不买了，纯属在给美国充军费来恶心我自己。 78522368725 bzuwkviso 四川
困有什么比不比的，小米不是为了你们不卖高价，而是因为他卖高价没人买，这个逻辑你理的清吗？新款的手机和小米汽车哪个不是在往高端市场发展困 78522368725 bzuwkviso 四川
没收钱和收了钱区别，你看看陈震之前别的车有收钱视频的语气和措辞😄 6303157826 乐天派小羊nuS 广东
人家针对的是小米，而且小米本来品控就不行捂脸 66130100513 菲菲的内库 广西
小米一向在配置上秒天秒地 3660508612 虎絮龙叨 广东
比较实在 2516098099709455 正能量河流E 北京
以震哥的风格，这车大概率整体驾驶没有达到他的满意，也没有什么值得吹的优点 102959265702 老杨微观 河南
这车，除了模仿的外观，其他有能拿出手的吗？ 6683350248 日冕层之火 山东
https://m.toutiao.com/is/iFwg6A65/-小米SU7真的是现在最火的电动车吗？-今日头条 52354613962 剑出没 北京
没说音响懂了吧 54996605489 特鲁姆普上 河南
不是有十几个亿的模式吗？！ 7009167175 丰180928 河南
以震哥的风格，这车大概率整体驾驶没有达到他的满意，也没有什么值得吹的优点 102959265702 老杨微观 河南
这车，除了模仿的外观，其他有能拿出手的吗？ 6683350248 日冕层之火 山东
https://m.toutiao.com/is/iFwg6A65/-小米SU7真的是现在最火的电动车吗？-今日头条 52354613962 剑出没 北京
没说音响懂了吧 54996605489 特鲁姆普上 河南
不是有十几个亿的模式吗？！ 7009167175 丰180928 河南
就说他说的有手机为啥要在家里用小爱同学打开各种，这不是无脑喷吗，人+车+家小米说了多少次了，无论在哪个环境下都可以互联互通吗 3263812758668612 晴天 四川
可以设置联动，开着车快到家了就给你开空调了！ 84724703350 是爱抬杠 山东
有说什么吗？感觉都没叫什么 3930098003 伊巴 广东
比预想低，买它！我不买捂脸 2172266746493676 花开牧野 广东
这背景好熟悉小白和科技美学up主也在那 949580744362967 怒怼喷子不亦乐乎 内蒙古
我实在受不了了 1600481910859182 睿智的品茶吃瓜 山东
昨天发布会主播没他两项，韩路都在 101966745240 秧戈尔谝闲传 陕西
有时候说一点实话，也是很厉害的广告 111068093309 用户2365984365395 浙江
有好有坏挺实在的 104243864905 天道好轮回vip 山东
🌸春花报好运 111064737691 长江路巨 江苏
封神了 3662773644 意识流K 广东
就他没拿到钱抠鼻 3987264097 智者仁心wq 广东
哈哈 93167698238 技术菜男 江苏
拿钱了更不靠谱了。 5943527656 阿文72351312 广西
以雷子的性格不能不给，估计给的没达到预期吧 3540048409006108 冰凉的小手llssll 辽宁
封神了 3662773644 意识流K 广东
就他没拿到钱抠鼻 3987264097 智者仁心wq 广东
哈哈 93167698238 技术菜男 江苏
拿钱了更不靠谱了。 5943527656 阿文72351312 广西
以雷子的性格不能不给，估计给的没达到预期吧 3540048409006108 冰凉的小手llssll 辽宁
钱没到位马思纯的微笑 11353452098 魔法可乐F9G 山东
吹毛求疵 52884690576 吉祥如意健康快乐顺心 辽宁
不行就是不行，承认自己不行很难吗？震哥都说了不行，难道你比他还懂车？ 3120920110 黄社长 河北
他再懂也是你自己开啊，自己试试不就得了，说的好与坏不如自己感受 86310260258 小基🐤 北京
充值震：实话实说？你去买威马汽车吧。大金牙 2731621007762333 我说的是蒸的 上海
只给八百块，怪不得陈震突然阴阳怪气怼雷军 936434567232366 詹姆世邦德 四川
雷子没给到位啊呲牙，不懂事，太小看我们震哥的带货能力啦捂脸 76785746193 伍子浩在的 广东
估计没有给他头部待遇捂脸 22428511860 简简单单qzq 浙江
怎么找的测评，这家伙明显黑呀，而且无脑黑！陈震评别的：太好看了，这你受的了吗？太强大了，这你受的了吗？陈震评小米：辅助驾驶按键太单一，这你受得了吗？智能汽车还用实体拨挡控制空调音量，这你受得了吗？这天幕颜色太黑没空间感，这你受的了吗？……这你受的了吗，评小米全是黑呀泪奔@雷军@小米汽车 4296515089342568 Mifans 北京
小米还用黑嘛？ 66130100513 菲菲的内库 广西
有点敷衍灵光一闪 84724703350 是爱抬杠 山东
没喝够钱呀 500968591460711 用户388219686143 重庆
也有无脑黑的抠鼻 50816123046 最美的风景在路上14 河南
你看他以前吹什么车就知道了 897633286893919 小新来了鸭 山东
其他人说实话我还信，这货这样说我倒觉得小米这次没怎么充值 79180415678 开飞车的小新 重庆
震哥，这车会不会像小米手机一样越开越卡？ 60737350323 闻道先森 福建
你媳妇还越用越老呢 50253554651 Nia丶 山东
咋的小米手机就是卡选手机不会在选择小米。用过小米手机卡得不行。最新款去实体店体验优化还是那么拉胯，卡，说实话不行？ 4318478393945325 用户2882841113744 四川
他说的也是实话啊 5085660432 丁丁爱生活QikT 辽宁
你可真是杠精，我本身就是小米用户身边也有朋友买新款小米手机卡这个问题还是没解决。同样都是安卓小米能不能把优化做好？同样华为最早的时候卡现在好多了。 4318478393945325 用户2882841113744 四川
没毛病呲牙 101363120025 半生年华 辽宁
说话评论可以互相怼，别针对家人，遇见这样的，我会怼回去，只要你感觉良好！奉陪到底！ 92597576723 Liuliu7829 江苏
然后到后面就成了卡车对嘛 2933096173804955 呲啦呲啦 宁夏
机车要看广告吧，和电视一样狗头，刹车不要看广告就行 4415251601424543 不吃鸭蛋的猪 广东
小米11抢购的大冤种在此 641711236716632 哈哈哈哈胡太丰富 安徽
每年加钱升级就不卡了呲牙 5420603719 一剑飘渺 广东
你是用的500多的红米吗，还能卡泪奔 452609329605640 基因蓝图 云南
前几天看到用7年前小米6的人，一样流畅丝滑。不知你说的卡是什么手机？ 4111548037 aa阿生哥 广东
他会和小米手机一样为发烧而生越来越热然后你们懂得 2928698367675373 智慧西柚r 河北
你咋不说还会发热呲牙 4321385001 三个月练出腹肌 湖北
你用过小米手机了吗？ 10117840663 淡泊龙胆 广东
保留物理按键的理由就是：我不是随时都想用语音操控，不想说话的时候就用按键，非常人性化的设计[微笑] 3334132205367512 恒指操盘手二哥 四川
很明显给的不够多 111474912131 转身是岸边 中国香港
你不了解震哥，震哥不差钱！捂脸小米买不动！ 58084857199 股市老韭菜 北京
吹特斯拉的时候你怎么说？ 94246305167 沉默是金68885 广东
这个世界上还有人不差钱的。那个医院的院长贪了9个亿，他还缺呢。 4160997112161628 一盏春泥 福建
小米这次有热度，不需要花费捂脸捂脸下次一定 82134720800 房车排行榜 江西
不缺钱笑话他吃像挺难看的 10040774788 老叶154406961 福建
陈震骂过多少次特斯拉了，还吹 5246093491 寻龙夺宝记 山西
这货只是你哥昂，跟我没关系，别天天震哥震哥的，在我眼里，他就是了蹲过两次局子的街遛子 96004165167 客官进来玩会呀 河北
公认行业收费最高 3316763792 烟雨迷雾青衫客 广东
小米不用给他们这些车评人钱，他们还得来蹭小米的流量 94585567312 凯旋晋京 北京
66666，小米营销费都花在你头上了？ 100759859327 雪后主 湖北
就没给我想静静 3457306986814295 宇宙远古巨人 陕西
根本没有给给了就说好话了他们就是干这个吃饭的 51581900865 toushinrin 江苏
很明显捂脸，我这都是老粉啦，都感觉出来啦呲牙 76785746193 伍子浩在的 广东
800块，小米没有花大钱去请人笑哭 6102215411 删库跑路 广东
这车不用洗，就是贵的离谱，很多基础的都要选装，而且居然除了顶配其他都是400v，充电桩一千多块钱的东西都不送，而且还没终身质保，别提多离谱。但是顶配，还算是值得买，28左右更合理 3016649641 少吃点大头菜 广东
玩沙漠给多了，吹太猛反而坏了看 3457296732260064 东 广东
给了钱也不敢说大真话，只能含蓄的说。他是粉丝养活的。如果坑了粉丝，他口碑砸了就废了 3162667827080048 博学多才的菠萝Ihd 湖南
还有一点，这毕竟只是一台30万以内的车，听下来，陈震这样的评测是明显用了远超这车定位的眼光来挑剔和轻视，如果大家都听出了这样的味道，是哪里出了问题？ 52354613962 剑出没 北京
这是选择性的忽略？你拿30万去看看国产几个大厂的车 93095751092 我是小小star 湖南
有没有可能，当初雷布斯顶配车的售价预计定在三十大几的。这个视频也是在发布会之前就做完的。 715154807601684 框吉先生 江苏
同级别其他厂家对比的话，陈震讲的确实在理 60178665158 橐驼先生 广西
雷军的广告词是50w内哦 2686843833825748 自滋滋滋滋 江苏
手机永远只选苹果，电车至少这十年只选特斯拉比心 57212988428 焕秋速写 广东
30万比这车配制高、品牌力强的多了去了，，比亚迪、极氪、深蓝、星途，哪个的产品不比小米能打我想静静我想静静我想静静 5557204640 谁也没用哈哈 四川
30万少吗？兄弟捂脸 264318384081087 米妈图文 江苏
30万啊，你以为是20万？ 3954360806 萤火虫骑士 福建
八百车马费， 111543379355 楼下的流量 广东
雷子说这是几十万里最好的车，照这个标准来看也是符合雷子的设定 109626420712 有趣的雪碧not 广东
毕竟30万，不能跟大G跟迈巴赫200万的别来比 3169218837613492 雾蒙蒙细雨95 江西
30万少吗，全国百分之95以上的车不到30万，奥迪A6都30出头了，不应该挑？ 5246093491 寻龙夺宝记 山西
小米没给钱捂脸 92008478944296 侯小厨h 陕西
这你就小瞧震哥了，至于给多少也不关我们的事，只是看上去受邀来评测，更像是被迫营业的态度 52354613962 剑出没 北京
雷子都跟taycan在比了，怎么你还嫌陈震标准高了 5947703590 神秘葡萄v0v 湖南
因为小米没有给钱，早上看到那个胖猴说车，也是挑了毛病的。很明显小米这波没有充值。我想静静我想静静我想静静我想静静 1649682345636766 小生常谈s1 四川
拿这车和g500比运动型车去比后排葛优躺捂脸 94893894657 7爷坦荡荡 湖北
电车是咋做到噪音大的 4432024132 郑州陈sir 河南
全系单层玻璃 435049653875373 把海倒进杯子2002 浙江
请说陶瓷 6108682224 闫大广 河北
那叫陶瓷惊呆 5535768935 ketch23 北京
明明是纳米级玻璃， 99329898726 Me阳663 宁夏
妙笔生花 98191856221 潇洒湖泊AL 陕西
那叫龙晶陶瓷呲牙 4424501561 痛打键盘侠 吉林
无边框车门胎噪就大 62086241067 昨日闲话 江苏
仰望U9在120时60分贝 952614062394984 小决ii 湖北
轮噪、风噪、外部噪音 55753206283 法亚雷恩 山西
隔音是很考验用料和成本的 4426239191 深藏Blue2022 福建
模拟声浪 3713560912 瞌睡的桃 海南
神评 107997080371 正大光明山丘EK 山东
无边车窗！国产就是外观漂亮内部豪华，抓住国人的心里！内在的东西才是精华捂脸 99837024841 故米国 上海
汽车的噪音不是只有发动机，大部分是底盘，风噪，路噪，胎噪，车门窗，甚至后视镜 4645466259 乌拉乌拉咧 四川
理解你没开过车，尤其没开过电车！有一种噪音叫胎噪！你先查一下就明白了！ 67903136177 班上多个老夫子 广东
电车噪音更明显 108859588887 沈万三人行 江苏
因为没有发动机了，所以所有噪音就都放大了 93096253609 GT猫 江苏
没开电车之前我总以为电车的噪音肯定秒杀油车，结果实际开上一次原来都差不多好像黑线！ 77475801492 汽车检测师 河南
因为陈震开模拟声浪了 4332521912286712 屎倒淋头你还嘴硬 云南
风躁 2025772753104045 富足青山TZZ 河南
电车噪音更明显 108859588887 沈万三人行 江苏
因为没有发动机了，所以所有噪音就都放大了 93096253609 GT猫 江苏
没开电车之前我总以为电车的噪音肯定秒杀油车，结果实际开上一次原来都差不多好像黑线！ 77475801492 汽车检测师 河南
因为陈震开模拟声浪了 4332521912286712 屎倒淋头你还嘴硬 云南
风躁 2025772753104045 富足青山TZZ 河南
风噪，胎噪 99995682686 袁金方1105 河南
风噪 1692876288041716 谈古论今的不闲人 河南
风噪胎噪不算吗 51062772105 Wexfords 天津
你不知道有个胎噪吗 5983937480 多才多艺清风zCc 广东
胎噪捂脸 6070860195 林俊78013789 广东
无框玻璃风噪大 4343259249 第利滚圆 上海
这个玻璃真丑，感觉很危险 72539147352 独钓江雪—雨 山东
胎噪，风噪 4525205745 华扬树 江西
轮胎！风！悬挂 7003288907 过路云1 山东
头头是道 2881200895296893 开朗原野Zx 上海
电车和油车在内部的噪音不都一样么？难道你开油车还能听到发动机噪音么？ 3918263670029283 布宜诺斯艾利斯 江苏
没车? 6234425308 0枫胤0 山东
玻璃用的单层 452609329605640 基因蓝图 云南
胎噪，车最大的噪音就是胎噪和风噪。发动机基本噪音都不大 5507379018 弗拉基米耳 浙江
你开过特斯拉吗 105460236149 MC大鸟叔叔 江苏
电车和油车在内部的噪音不都一样么？难道你开油车还能听到发动机噪音么？ 3918263670029283 布宜诺斯艾利斯 江苏
没车? 6234425308 0枫胤0 山东
玻璃用的单层 452609329605640 基因蓝图 云南
胎噪，车最大的噪音就是胎噪和风噪。发动机基本噪音都不大 5507379018 弗拉基米耳 浙江
你开过特斯拉吗 105460236149 MC大鸟叔叔 江苏
还没开过电车捂脸 4432024132 郑州陈sir 河南
胎噪，风噪 6074444135 好学蜻蜓Hel 广东
电动车通病胎噪大，因为其他隔音都做好了，胎噪很难避免，小米的就不知道了，单层玻璃， 102387732254 ClintLin旅摄 湖北
陶瓷 7016491659 weed7 广西
你这句话就等于说我没戴耳机你说话我怎么听得见呢？ 53478101042 吴俊辉19 重庆
胎噪和风燥 5474326126 小苏的天下 山西
轮胎风车外声音 4043494075 楠溪江土著 浙江
笑话 111474912131 转身是岸边 
开过车了没有？你以为油车的噪音都来自发动机？又不是拖拉机笑哭，速度上来了最大噪音来自风噪和胎噪，难道你的电车可以克服这两样东西？ 4128037137554564 用户6280126176257 广东
油车一般发动机噪音不大，风燥和胎噪比较大 98845825063 儒雅青山Ej 山东
开过好车没？你家车发动机是主要噪音源？ 77220139240 春哥谈车 内蒙古
没开过车吗？跑高速时连油车的噪音也大部分来自胎噪和风噪捂脸 4400932253 芣苢君 广东
万事俱备只欠韭菜赞 4234921979952920 扛盾挥大刀 云南
你是不是以为噪音都是发动机来的？？没开过车理解你。。。。 3114236492645344 烦了小太爷812 河南
这次雷总有点不懂事震哥说的有气没力的[呲牙] 5484067751 布想理你99999 江苏
哈哈🤣正是，明显没到位，震哥很不满意 848446749159644 我想买辆摩托车 北京
雷军因大部分用外国供应链连车也被人喷，说华为专利被偷卖美，还被说成买办捂脸捂脸 6023958290 善良星球z 甘肃
🍀以花之名传递好运 110855997299 老虎涂涂 四川
肯定没到位 76315043458 海阔天空158887 浙江
前段时间震哥说别墅的时候雷总没看到呲牙 5894944358 小城蚂蚁兵 河南
韩路对这个很满意，全是好评 2550501527522829 泥蚂乐歌8字 北京
货比三家。。明显雷子觉得陈震贵不想给 78241157869 温州老板黄鶴 浙江
应该没送车 3834731069182872 丶德克斯特丶 重庆
给少了 2792391914301624 为数不多八点半 安徽
雷子我们震哥这么大的V也不知道多给点，带货能力没得说的捂脸 76785746193 伍子浩在的 广东
。。。。。。。。。 50304561224 海准基点 安徽
这精神头比以往差点但点评的很全面也很客观呲牙 80179290046 含章進取 北京
是的，感觉没激情。爱说不说的样子，还有点挑刺。明显没给够。 4285900359 飞越疯人院37517501 福建
小米这次发布会还是挺成功的，一小时卖了10万辆呀呲牙 97112942784 沾了糖霜的小猫咪 山东
确实感觉小米这个价位做到这样子的汽车已经很牛了赞 97112942784 沾了糖霜的小猫咪 山东
https://m.toutiao.com/is/iFwg6A65/-小米SU7真的是现在最火的电动车吗？-今日头条 52354613962 剑出没 北京
没充值啊，肯定没力气灵光一闪 101854971648 viki468 河南
没给钱，但是也想蹭一波流量，所以还得评测一下，但是肯定多说点不好，视频都没看，直接评论的 6639712859 羞涩宝 天津
这辆车最重要的2.7秒加速和操控这点充值震一点不说，看来雷总确实没给钱我震哥真的生气了捂脸捂脸捂脸 3538668919198904 山野村夫 北京
雷总不懂事，没给我震哥充值到位捂脸 3538668919198904 山野村夫 北京
https://m.toutiao.com/is/iFwg6A65/-小米SU7真的是现在最火的电动车吗？-今日头条 52354613962 剑出没 北京
没充值啊，肯定没力气灵光一闪 101854971648 viki468 河南
没给钱，但是也想蹭一波流量，所以还得评测一下，但是肯定多说点不好，视频都没看，直接评论的 6639712859 羞涩宝 天津
这辆车最重要的2.7秒加速和操控这点充值震一点不说，看来雷总确实没给钱我震哥真的生气了捂脸捂脸捂脸 3538668919198904 山野村夫 北京
雷总不懂事，没给我震哥充值到位捂脸 3538668919198904 山野村夫 北京
恩怨是不是起源于这个照片啊呲牙 104512025568 bihai0702 四川
急着出差了呲牙 99649939427 因为有蛋蛋 河南
充值没到位？奸笑 74294425201 敏锐小猫sa 江苏
你们说的是充值没冲够吗？算了我摊牌了，是钱没给到位吗？ 100474520303 愤怒的大表姐 湖北
明显这车没吹点。。。。给钱也没办法吹爆 55673496612 挖鼻孔的平头哥 山东
雷总宠不来的，这段时间确实有点忙呲牙 2480095435175328 直爽海风ui 广东
韩路去了 6231414945 好好4 山东
震哥你突然这么客观有点不习惯，是不是雷给少了？ 2826180590573050 博学书包7C1 山西
没给吧 6042755359 beloveisthehappy 河北
肯定给了，要不🚗也看不到 67303936035 蓝天小泡泡 浙江
他自己也需要流量捂脸 55303535493 陌颜Vip 湖北
给了800元 92319958159 步行走世界 上海
明显给少了 4726171359 ArthasKimi 陕西
妹给 5931254237 万万妹想到哇 黑龙江
陈震:这车什么都好，就是卖得太便宜，开出去怎么装逼？捂脸 2759587472 嗨贼王 广西
感觉这个测评想说不好，但是又不是那么不好，不知道该怎么说 63781544997 用户名方波 广东
吵架了你不知道吗所以他要骂小米 3705796749178547 优雅微风iX 新疆
吵什么架了，说来听听，毕竟造谣坐实需要更多的证据马思纯的微笑 94528962974 且看你蹦蹦跳跳 广东
雷子没给到位啊呲牙，不懂事，太小看我们震哥的带货能力啦捂脸 76785746193 伍子浩在的 广东
没收钱和收了钱区别，你看看陈震之前别的某品牌车有收钱视频的语气和措辞😄 6303157826 乐天派小羊nuS 广东
没收钱说明说的是实话，这才是正常的消费者想听到的！ 104564839466 从前的那一天 贵州
你知晓一下就ok了 4885108181 我们一起吃外卖 海南
封神了 6277827162 空白的结局84261370 黑龙江
充值太少是主要原因，看图 3538668919198904 山野村夫 北京
不是吧，这也太少了 6041371244 每天发点有意思的 上海
想说不好，但是给钱了，又不好说 2018316464437287 顾言闲聊 广东
什么都没说，但是我听到了麦克斯这个车就是说垃圾，双层玻璃哈哈 51963914858 冬雪里的神话 江苏
收钱干活。反过来说：感觉这个测评想说好，但是又不是那么好，不知道该怎么说捂脸捂脸捂脸 53962281198 我为球狂8 天津
收了别的车厂的钱，不能说好话。 3587026661 那年桃花细雨 山东
你这脑回路真奇特这是官方邀请的自媒体博主试驾要真金白银花钱的！媒体实话实说觉得人家有错吗，一定要夸到天才可以？捂脸 5983978978 ID大帅 福建
吉利最近营销费用明显见涨 51561463232 小青龙和小粉龙的爸爸 浙江
总体来说就是这车不错，黑不动。就像中控屏启动米家一样，你开车时怎么对着手机说？万一手机放后座了呢？结果在他这里就是没什么用捂脸 98787331888 开着奥迪卖奔奔 江苏
明显硬挑毛病！开车玩手机和语音控制哪个安全毋庸置疑，他连这个也喷，满篇感觉一股阴火 51422818891 爱吃冰棍的宇文鸿骞 内蒙古
不过我也纳闷为啥小米没找他。按理说震哥流量比老韩高啊，小米不至于出不起这个钱 2137869603049787 奇米的猜想 江苏
这是明显黑了 4296515089342568 Mifans 北京
没给钱怎么说捂脸 77697855238 闽南二傻子 广东
总体来说就是这车不错，黑不动。就像中控屏启动米家一样，你开车时怎么对着手机说？万一手机放后座了呢？结果在他这里就是没什么用捂脸 98787331888 开着奥迪卖奔奔 江苏
明显硬挑毛病！开车玩手机和语音控制哪个安全毋庸置疑，他连这个也喷，满篇感觉一股阴火 51422818891 爱吃冰棍的宇文鸿骞 内蒙古
不过我也纳闷为啥小米没找他。按理说震哥流量比老韩高啊，小米不至于出不起这个钱 2137869603049787 奇米的猜想 江苏
这是明显黑了 4296515089342568 Mifans 北京
没给钱怎么说捂脸 77697855238 闽南二傻子 广东
感觉这个测评想说好，但是又不是那么好，不知道该怎么说捂脸捂脸捂脸 103460676153 心之力686 四川
这次震哥评车风格突变啊[呲牙] 3676431166 除魔者终成魔 湖北
刚开始先敲敲竹杠 105010919038 三和老大 浙江
你是懂他的 5770490728 不锈钢牌讲师 广东
他是铁杆米粉捂脸，和雷总认识的，需要这样敲竹杠吗？ 3035124056988148 高冷暖阳9F 浙江
说得对 3072506555284900 小猫病 湖南
充值不足 5931254237 万万妹想到哇 黑龙江
钱没给到位 96471030789 勇往直前的清泉Yq 四川
他这么说，手机📱也该换品牌了。 4300888898018155 才思敏捷钢笔3U 北京
雷军太老实了，不肯给钱啊，陈震是行业有名的收钱充值大咖，谁不给钱就拼命黑。你可以看看为什么所有车评人只有陈震黑小米，因为小米有自己原则，绝对不会充值给车评人，要用质量征服车评人，陈震说既然你不给钱，那我黑死你 23852937064 鳗鱼附体 广东
小米不充值捂脸 50287220221 天真的错觉 广东
